Name,EnrollmentCount,Category,FullAddress,Latitude,Longitude
Harvest Christian School,12,Tiny,"Harvest Christian School, 21 Minnesota St, Sandstone, MN 55072-4403, USA",46.1261111,-92.8705556
Hastings High School,1452,Large,"Hastings High School, 200 General Sieben Dr, Hastings, MN 55033-2597, USA",44.744113,-92.890808
Hawley High School,275,Small,"Hawley High School, Hawley, MN 56549, USA",46.8833332,-96.3194444
Hayfield High School,232,Small,"High School Ofc, 9 6th Ave SE, Hayfield, MN 55940-7804, USA",43.8902412,-92.8376892
Henning High School,84,Tiny,"Henning Elementary School, 500 School Ave, Henning, MN 56551-4003, USA",46.3199328,-95.4485468
Henry Sibley High School,1201,Large,"Henry Sibley Senior High School, 1897 Delaware Ave, Mendota Heights, MN 55118-4399, USA",44.8871811,-93.1083114
Heritage Christian Academy,120,Tiny,"Heritage Christian Academy, 15655 Bass Lake Rd, Maple Grove, MN 55311-3103, USA",45.0816159,-93.4795069
Herman-Norcross High School,25,Tiny,"Herman, MN 56248, USA",45.8086111,-96.1433333
Hermantown High School,626,Medium,"Hermantown High School, 4335 Hawk Cir Dr, Hermantown, MN 55811-3648, USA",46.8213294,-92.2396349
Hibbing High School,634,Medium,"Hibbing High School, 800 E 21st St, Hibbing, MN 55746-1857, USA",47.4262541,-92.9325385
High School for Recording Arts,145,Tiny,"High School For Recording Arts, 550 Vandalia St, St Paul, MN 55114-1833, USA",44.957461,-93.19155
Hill City High School,74,Tiny,"Hill City School, 500 Ione Ave, Hill City, MN 55748-9628, USA",46.9931645,-93.5927704
Hillcrest Lutheran Academy,160,Tiny,"Hillcrest Lutheran Academy, 610 Hillcrest Dr, Fergus Falls, MN 56537, USA",46.277904,-96.085996
Hill-Murray School,705,Medium,"Hill-Murray School, 2625 Larpenteur Ave E, St Paul, MN 55109-5098, USA",44.993299,-92.9899379
Hills-Beaver Creek High School,98,Tiny,"Hills Beaver Creek School District, 205 E 2nd St, Hills, MN 56138-1080, USA",43.5288609,-96.3564244
Hinckley-Finlayson High School,248,Small,"Hinckley Finlayson High School, 201 Main St E, Hinckley, MN 55037-9368, USA",46.0161111,-92.94
Hmong Academy,210,Small,"Hmong College Prep Academy, 1515 Brewster St, St Paul, MN 55108-2612, USA",44.974985,-93.164225
Holdingford High School,292,Small,"Holdingford High School, Holdingford, MN 56340, USA",45.7347222,-94.4675
Holy Family Academy,10,Tiny,"Holy Family Academy, 5925 W Lake St, St Louis Park, MN 55416-2019, USA",44.9449645,-93.3546719
Holy Family Catholic High School,595,Medium,"Holy Family Catholic High School, 8101 Kochia Ln, Victoria, MN 55386-8228, USA",44.857998,-93.645144
Holy Trinity High School,82,Tiny,"Holy Trinity High School, 110 Winsted Ave W, Winsted, MN 55395-7901, USA",44.9655556,-94.0469444
Hope Lutheran High School,47,Tiny,"Hope Lutheran High School, 253 Liberty St, Winona, MN 55987, USA",44.0480639,-91.6300289
Hopkins High School,2070,VeryLarge,"Hopkins High School, 2400 Lindbergh Dr, Minnetonka, MN 55305-3123, USA",44.960279,-93.410042
Houston High School,124,Tiny,"Houston Elementary School, 310 S Sherman St, Houston, MN 55943-8653, USA",43.7607995,-91.5668096
Howard Lake-Waverly-Winsted H.S.,311,Small,"Howard Lake-waverly-winsted, Minnesota, USA",45.0406112,-94.0444128
Hutchinson High School,762,Medium,"SENIOR HIGH SCHOOL, 1200 Roberts Rd SW, Hutchinson, MN 55350-2198, USA",44.885275,-94.393766
Immanuel Lutheran H.S.,35,Tiny,"Immanuel Lutheran School, 30 S Wabasha, Plainview, MN 55964-1399, USA",44.1638889,-92.1661111
Indus High School,40,Tiny,"Indus School, 8560 State Highway 11, Baudette, MN 56623-9261, USA",48.6993236,-94.2994422
International Falls H.S.,387,Small,"International Falls, MN, USA",48.6023149,-93.4040679
International School of MN (The),141,Tiny,"Elizabeth Hall International Elementary School, 1601 Aldrich Ave N, Minneapolis, MN 55411-3395, USA",44.9956171,-93.2898581
Irondale High School,1355,Large,"Irondale High School- Wendt Stadium, New Brighton, MN 55112, USA",45.0892609,-93.2049852
Isle High School,121,Tiny,"Isle High School, 730 County Road 17, Isle, MN 56342-4590, USA",46.1363973,-93.473486
Jackson County Central High School,310,Small,"Jackson County Central High School, 1128 North Hwy, Jackson, MN 56143-1075, USA",43.6246806,-94.9997137
Janesville-Waldorf-Pemberton H.S.,164,Tiny,"Janesville-Waldorf-Pemberton Elementary School, 110 N Main St, Janesville, MN 56048, USA",44.1162511,-93.7075322
Jordan High School,438,Small,"Jordan High School, 600 Sunset Dr, Jordan, MN 55352-1698, USA",44.6583213,-93.6399292
Kasson-Mantorville High School,568,Medium,"Kasson-Mantorville Senior High, 101 16th St, Kasson, MN 55944-1610, USA",44.0449639,-92.746578
Kelliher High School,49,Tiny,"Kelliher High School, Kelliher, MN 56650, USA",47.9430556,-94.448611
Kenyon-Wanamingo High School,230,Small,"Kenyon-Wanamingo Senior High School, 400 6th St, Kenyon, MN 55946-1203, USA",44.267069,-92.99035
Kerkhoven-Murdock-Sunburg H.S.,145,Tiny,"Kerkhoven Central Office, 302 N 15th St, Kerkhoven, MN 56252-9305, USA",45.1905284,-95.3248074
Kimball Area High School,215,Small,"Kimball Area High School, Kimball, MN 55353, USA",45.3141667,-94.3027778
Kingsland High School,214,Small,"Kingsland Senior High School, 705 N Section Ave, Spring Valley, MN 55975-1534, USA",43.6948057,-92.3889881
Kittson Central High School,80,Tiny,"High School, Hallock, MN 56728, USA",48.78,-96.9472222
La Crescent High School,475,Small,"La Crescent Senior High School, 1301 Lancer Blvd, La Crescent, MN 55947-1699, USA",43.8157995,-91.3126382
Lac qui Parle Valley High School,250,Small,"La Qui Parle Valley School, 2860 291st Ave, Madison, MN 56256-3296, USA",45.0727803,-96.0627669
Lake City High School,348,Small,"Hill City School, 500 Ione Ave, Hill City, MN 55748-9628, USA",46.9931645,-93.5927704
Lake Crystal-Wellcome Memorial,209,Small,"Lake Crystal, Minnesota 56055, USA",44.1114414,-94.2051476
