Name,LocationQuery,EnrollmentCount,Category
St. Paul Preparatory School,Nacel St. Paul Preparatory School in Saint Paul,163,Tiny
St.Paul Conservatory for Performing Arts,Saint Paul Conservatory for Performing Artists in Saint Paul,521,Medium
Staples-Motley High School,Staples-Motley High School,372,Small
Stephen-Argyle Central High School,Stephen-Argyle Central High School,98,Tiny
Stewartville High School,Stewartville High School,484,Small
Stillwater Area High School,Stillwater Area High School,2670,VeryLarge
Studio Academy,Studio Academy,77,Tiny
Swanville High School,Swanville High School,97,Tiny
Tartan High School,Tartan High School,1581,Large
Thief River Falls High School,Thief River Falls High School in Thief River Falls,550,Medium
Totino-Grace High School,Totino-Grace High School,802,Medium
Tracy-Milroy-Balaton High School,Tracy Secondary School in Tracy,221,Small
TrekNorth High School,TrekNorth High School,95,Tiny
Tri-County High School,Tri-County High School,66,Tiny
Trinity School at River Ridge,Trinity School at River Ridge,220,Small
Triton High School,Triton High School,283,Small
Truman High School,Truman High School,93,Tiny
Twin Cities Academy High School,Twin Cities Academy High School,110,Tiny
Two Harbors High School,Two Harbors High School,308,Small
Ulen-Hitterdal High School,Ulen-Hitterdal High School,82,Tiny
Underwood High School,Underwood High School,138,Tiny
United South Central High School,United South Central High School,210,Small
Upsala High School,Upsala High School,124,Tiny
Verndale High School,Verndale High School,126,Tiny
Virginia High School,Virginia High School in Virginia,460,Small
Visitation High School,Visitation High School in mendota heights,606,Medium
Wabasha-Kellogg High School,Wabasha-Kellogg High School in Wabasha,208,Small
Wabasso High School,Wabasso High School,134,Tiny
Waconia High School,Waconia High School,996,Medium
Wadena-Deer Creek High School,Wadena-Deer Creek High School,256,Small
Walker-Hackensack-Akeley H.S.,Walker-Hackensack-Akeley School in Walker,207,Small
Warren-Alvarado-Oslo High School,Warren-Alvarado-Oslo High School,115,Tiny
Warroad High School,Warroad High School,318,Small
Waseca High School,Waseca High School,522,Medium
Watertown-Mayer High School,Watertown-Mayer High School,445,Small
Waterville-Elysian-Morristown H.S.,Waterville-Elysian-Morristown H.S.,251,Small
Waubun High School,Waubun High School,119,Tiny
Wayzata High School,Wayzata High School,3060,VeryLarge
West Central Area School,West Central Area School,205,Small
West Lutheran High School,West Lutheran High School,161,Tiny
Westbrook-Walnut Grove High School,Westbrook-Walnut Grove High School,135,Tiny
Wheaton High School,Wheaton High School,129,Tiny
White Bear Lake Area High School,White Bear Lake Area High School,2257,VeryLarge
Willmar High School,Willmar High School,994,Medium
Willow River High School,Willow River High School in willow river,103,Tiny
Windom Area High School,Windom Area High School,247,Small
Win-E-Mac High School,Win-E-Mac High School,122,Tiny
Winona High School,Winona High School,997,Medium
Woodbury High School,Woodbury High School,1715,Large
Worthington High School,Worthington High School,563,Medium
Wrenshall High School,Wrenshall High School,86,Tiny
Yellow Medicine East H.S.,Yellow Medicine East H.S.,252,Small
Zimmerman High School,Zimmerman High School,546,Medium
Zumbrota-Mazeppa High School,Zumbrota-Mazeppa High School in Zumbrota,339,Small
